line,label
The Case of the Missing Clock ........................................... 399,0
The Mystery of the Silver Dagger ............................................... 46,0
Whispers in the Attic .................................... 241,0
The Ghost of Blackwood Hall ............................................ 181,0
Shadows of the Forgotten ..................................... 145,0
The Riddle of the Ancient Tomb ........................................... 586,0
Murder at Greystone Manor .................................................. 81,0
Echoes from the Crypt .................................. 14,0
A Puzzle in Paris ............................................. 5,0
Curse of the Pharaoh ......................... 224,0
The Vanishing Librarian ................................. 96,0
Secrets of the Ivy League ................................................ 540,0
The Bell Tower Enigma ...................................... 344,0
Death Beneath the Willow ................................. 88,0
The Lighthouse Keeper’s Legacy ...................................... 434,0
Treasure in the Tundra ....................................... 27,0
Whispers from the East Wing ............................... 410,0
The Alchemist’s Cipher ................................. 332,0
Haunting at Crescent Inn .......................................... 480,0
Footsteps on the Balcony ................................................. 203,0
The Case of the Missing Clock .......................... 478,0
The Mystery of the Silver Dagger .................................................. 52,0
Whispers in the Attic ...................................... 58,0
The Ghost of Blackwood Hall ................................... 361,0
Shadows of the Forgotten ................................ 28,0
The Riddle of the Ancient Tomb .................................................. 326,0
Murder at Greystone Manor ..................................... 591,0
Echoes from the Crypt ................................ 179,0
A Puzzle in Paris ................................................ 546,0
Curse of the Pharaoh ........................... 291,0
The Vanishing Librarian ........................... 97,0
Secrets of the Ivy League ...................................... 418,0
The Bell Tower Enigma ........................................ 323,0
Death Beneath the Willow ................................. 115,0
The Lighthouse Keeper’s Legacy .................................................. 19,0
Treasure in the Tundra ............................................ 205,0
Whispers from the East Wing ................................... 237,0
The Alchemist’s Cipher ............................................ 68,0
Haunting at Crescent Inn .......................................... 561,0
Footsteps on the Balcony .............................. 173,0
The Case of the Missing Clock ........................... 503,0
The Mystery of the Silver Dagger ............................................... 306,0
Whispers in the Attic ......................................... 293,0
The Ghost of Blackwood Hall ................................... 579,0
Shadows of the Forgotten ............................... 575,0
The Riddle of the Ancient Tomb .............................. 332,0
Murder at Greystone Manor ....................................... 127,0
Echoes from the Crypt ....................................... 7,0
A Puzzle in Paris .......................................... 567,0
Curse of the Pharaoh ............................................... 247,0
The Vanishing Librarian ................................................. 228,0
Secrets of the Ivy League .................................................. 259,0
The Bell Tower Enigma ................................... 453,0
Death Beneath the Willow ................................ 427,0
The Lighthouse Keeper’s Legacy ................................. 244,0
Treasure in the Tundra ................................................ 388,0
Whispers from the East Wing ......................... 87,0
The Alchemist’s Cipher ......................................... 112,0
Haunting at Crescent Inn ............................... 399,0
Footsteps on the Balcony ................................... 364,0
The Case of the Missing Clock ................................ 397,0
The Mystery of the Silver Dagger ......................... 407,0
Whispers in the Attic ...................................... 577,0
The Ghost of Blackwood Hall ...................................... 99,0
Shadows of the Forgotten ............................................... 99,0
The Riddle of the Ancient Tomb ................................................ 344,0
Murder at Greystone Manor .............................................. 30,0
Echoes from the Crypt ............................ 117,0
A Puzzle in Paris ................................ 230,0
Curse of the Pharaoh ............................... 322,0
The Vanishing Librarian ................................... 252,0
Secrets of the Ivy League ......................... 541,0
The Bell Tower Enigma ................................................ 55,0
Death Beneath the Willow ............................. 192,0
The Lighthouse Keeper’s Legacy .................................... 312,0
Treasure in the Tundra ............................................. 64,0
Whispers from the East Wing ............................ 153,0
The Alchemist’s Cipher ............................. 157,0
Haunting at Crescent Inn ................................................. 594,0
Footsteps on the Balcony ......................... 197,0
The Case of the Missing Clock ......................................... 78,0
The Mystery of the Silver Dagger ............................................. 147,0
Whispers in the Attic ...................................... 504,0
The Ghost of Blackwood Hall .............................................. 188,0
Shadows of the Forgotten ............................. 424,0
The Riddle of the Ancient Tomb ............................................... 67,0
Murder at Greystone Manor ................................. 469,0
Echoes from the Crypt ................................... 364,0
A Puzzle in Paris ........................................... 524,0
Curse of the Pharaoh .................................................. 445,0
The Vanishing Librarian ............................................ 13,0
Secrets of the Ivy League .............................................. 206,0
The Bell Tower Enigma ........................... 196,0
Death Beneath the Willow ................................................. 444,0
The Lighthouse Keeper’s Legacy ................................................ 324,0
Treasure in the Tundra ........................................... 391,0
Whispers from the East Wing ................................................. 372,0
The Alchemist’s Cipher ......................................... 335,0
Haunting at Crescent Inn .............................. 231,0
Footsteps on the Balcony .......................................... 337,0
The Case of the Missing Clock ........................................ 46,0
The Mystery of the Silver Dagger .......................................... 190,0
Whispers in the Attic ................................. 309,0
The Ghost of Blackwood Hall ............................. 401,0
Shadows of the Forgotten .................................................. 451,0
The Riddle of the Ancient Tomb ................................................ 220,0
Murder at Greystone Manor .............................................. 158,0
Echoes from the Crypt .......................... 411,0
A Puzzle in Paris ............................................. 477,0
Curse of the Pharaoh ........................... 111,0
The Vanishing Librarian ....................................... 79,0
Secrets of the Ivy League ................................................. 17,0
The Bell Tower Enigma .................................................. 199,0
Death Beneath the Willow .................................. 414,0
The Lighthouse Keeper’s Legacy ............................................. 46,0
Treasure in the Tundra .......................................... 508,0
Whispers from the East Wing ................................ 406,0
The Alchemist’s Cipher ........................... 549,0
Haunting at Crescent Inn ............................ 351,0
Footsteps on the Balcony .......................... 104,0
The Case of the Missing Clock ................................ 174,0
The Mystery of the Silver Dagger ................................... 178,0
Whispers in the Attic ........................................... 43,0
The Ghost of Blackwood Hall ....................................... 578,0
Shadows of the Forgotten ................................................. 186,0
The Riddle of the Ancient Tomb .................................................. 262,0
Murder at Greystone Manor .............................. 189,0
Echoes from the Crypt ......................... 440,0
A Puzzle in Paris ....................................... 157,0
Curse of the Pharaoh .......................... 200,0
The Vanishing Librarian ........................................... 544,0
Secrets of the Ivy League ......................................... 324,0
The Bell Tower Enigma ............................................. 99,0
Death Beneath the Willow .............................. 505,0
The Lighthouse Keeper’s Legacy ................................ 442,0
Treasure in the Tundra .......................................... 335,0
Whispers from the East Wing ........................................ 128,0
The Alchemist’s Cipher ........................................ 431,0
Haunting at Crescent Inn ....................................... 445,0
Footsteps on the Balcony ..................................... 190,0
The Case of the Missing Clock ............................... 335,0
The Mystery of the Silver Dagger .......................... 63,0
Whispers in the Attic .................................... 310,0
The Ghost of Blackwood Hall ............................... 56,0
Shadows of the Forgotten ................................. 315,0
The Riddle of the Ancient Tomb ....................................... 301,0
Murder at Greystone Manor ............................ 521,0
Echoes from the Crypt ....................................... 119,0
A Puzzle in Paris ................................................ 88,0
Curse of the Pharaoh .................................................. 585,0
The Vanishing Librarian ............................................... 170,0
Secrets of the Ivy League ........................................... 142,0
The Bell Tower Enigma ......................................... 452,0
Death Beneath the Willow ....................................... 12,0
The Lighthouse Keeper’s Legacy .................................... 319,0
Treasure in the Tundra ............................. 524,0
Whispers from the East Wing ........................................ 231,0
The Alchemist’s Cipher ................................................. 22,0
Haunting at Crescent Inn ............................................ 378,0
Footsteps on the Balcony ............................. 450,0
The Case of the Missing Clock ........................................ 79,0
The Mystery of the Silver Dagger ........................... 414,0
Whispers in the Attic ............................. 412,0
The Ghost of Blackwood Hall .................................... 324,0
Shadows of the Forgotten ................................... 169,0
The Riddle of the Ancient Tomb ................................................ 183,0
Murder at Greystone Manor ....................................... 413,0
Echoes from the Crypt ........................................... 486,0
A Puzzle in Paris .................................................. 84,0
Curse of the Pharaoh ................................................ 578,0
The Vanishing Librarian ................................................ 33,0
Secrets of the Ivy League .......................................... 159,0
The Bell Tower Enigma ......................... 55,0
Death Beneath the Willow .......................... 330,0
The Lighthouse Keeper’s Legacy .............................. 307,0
Treasure in the Tundra .......................................... 100,0
Whispers from the East Wing ............................................... 45,0
The Alchemist’s Cipher ......................................... 140,0
Haunting at Crescent Inn ........................................... 338,0
Footsteps on the Balcony ...................................... 497,0
The Case of the Missing Clock ........................................... 6,0
The Mystery of the Silver Dagger ............................... 196,0
Whispers in the Attic ................................. 547,0
The Ghost of Blackwood Hall ............................... 123,0
Shadows of the Forgotten .................................. 257,0
The Riddle of the Ancient Tomb ............................ 405,0
Murder at Greystone Manor ............................ 232,0
Echoes from the Crypt .................................. 63,0
A Puzzle in Paris ....................................... 49,0
Curse of the Pharaoh ..................................... 443,0
The Vanishing Librarian ............................................ 494,0
Secrets of the Ivy League ................................... 332,0
The Bell Tower Enigma ............................... 475,0
Death Beneath the Willow ................................. 274,0
The Lighthouse Keeper’s Legacy ......................... 106,0
Treasure in the Tundra ............................... 123,0
Whispers from the East Wing ................................................. 79,0
The Alchemist’s Cipher ............................................. 350,0
Haunting at Crescent Inn ....................................... 100,0
Footsteps on the Balcony .......................................... 36,0
